arrondissement_id,zone_name,lon_min,lon_max,lat_min,lat_max
1,Sidi Belyout,-7.625,-7.595,33.590,33.620
2,Maarif,-7.660,-7.615,33.565,33.595
3,Anfa,-7.710,-7.660,33.585,33.630
4,Hay Hassani,-7.730,-7.670,33.530,33.585
5,Mers Sultan,-7.625,-7.595,33.555,33.590
6,Ain Chock,-7.660,-7.610,33.510,33.565
7,Hay Mohammadi,-7.595,-7.560,33.585,33.615
8,Sidi Bernoussi,-7.540,-7.480,33.600,33.645
9,Ain Sebaa,-7.560,-7.510,33.595,33.630
10,Roches Noires,-7.595,-7.560,33.605,33.630
11,Sidi Moumen,-7.540,-7.480,33.560,33.605
12,El Fida,-7.615,-7.585,33.565,33.585
13,Mechouar,-7.615,-7.600,33.575,33.590
14,Ben Msik,-7.585,-7.550,33.555,33.580
15,Sbata,-7.585,-7.540,33.535,33.565
16,Moulay Rachid,-7.550,-7.500,33.540,33.580